epoch,neuron1_bias,neuron2_bias,neuron3_bias,neuron4_bias,neuron5_bias,neuron6_bias,neuron7_bias,neuron8_bias,neuron9_bias,neuron10_bias,neuron11_bias,neuron12_bias,neuron13_bias,neuron14_bias,neuron15_bias,neuron16_bias,neuron17_bias,neuron18_bias,neuron19_bias,neuron20_bias,neuron21_bias,neuron22_bias,neuron23_bias,neuron24_bias,neuron25_bias,neuron26_bias,neuron27_bias,neuron28_bias,neuron29_bias,neuron30_bias,neuron31_bias,neuron32_bias
62,0.010990,0.005374,0.022795,-0.052461,-0.043783,0.006940,0.022126,-0.030245,0.010403,-0.016175,0.012402,0.014677,0.019238,0.005819,0.021878,0.022128,-0.032804,0.023960,0.024510,0.004614,0.005738,-0.036194,0.020621,0.023282,0.011347,0.019450,0.023126,0.023407,-0.019313,0.018392,0.023773,0.019768
63,0.003756,0.008138,0.025820,-0.052461,-0.043783,0.009389,0.023852,-0.030245,0.006229,-0.016175,0.007192,0.010211,0.019309,0.009742,0.021468,0.022881,-0.032804,0.025647,0.023618,0.007553,0.007662,-0.036194,0.017983,0.016881,0.011283,0.022183,0.017405,0.021061,-0.019313,0.025733,0.018591,0.019068
64,0.013922,0.002815,0.020921,-0.052461,-0.043783,0.006883,0.023593,-0.030245,0.006080,-0.016175,0.009876,0.006191,0.021750,0.008937,0.021453,0.021611,-0.032804,0.023430,0.025950,0.006333,0.001071,-0.036194,0.023165,0.018985,0.007088,0.027359,0.023517,0.023778,-0.019313,0.020216,0.023310,0.020191
65,0.007459,0.008702,0.021596,-0.052461,-0.043783,0.008030,0.023874,-0.030245,0.011221,-0.016175,0.011785,0.004349,0.018730,0.008885,0.022512,0.020544,-0.032804,0.021154,0.020131,0.005146,0.008912,-0.036194,0.020778,0.022571,0.011921,0.022913,0.022058,0.020348,-0.019313,0.024165,0.021694,0.020424
66,0.007600,0.007063,0.022640,-0.052461,-0.043783,0.008500,0.021702,-0.030245,0.008475,-0.016175,0.006985,0.006099,0.026221,0.005463,0.020752,0.020933,-0.032804,0.025148,0.019838,0.006714,0.006225,-0.036194,0.021016,0.026042,0.007784,0.022123,0.018677,0.021251,-0.019313,0.020535,0.023832,0.023324
67,0.008667,0.006922,0.023955,-0.052461,-0.043783,0.007388,0.020135,-0.030245,0.006338,-0.016175,0.007601,0.006946,0.020029,0.008554,0.016502,0.020897,-0.032804,0.020847,0.022187,0.008162,0.009579,-0.036194,0.023154,0.021120,0.007998,0.018281,0.020139,0.017191,-0.019313,0.025036,0.022066,0.021629
68,0.009014,0.010673,0.022732,-0.052461,-0.043783,0.008744,0.023927,-0.030245,0.006015,-0.016175,0.008235,0.011417,0.020434,0.006319,0.020392,0.022149,-0.032804,0.021795,0.021701,0.007745,0.007428,-0.036194,0.022803,0.024910,0.008360,0.020071,0.020027,0.025045,-0.019313,0.017633,0.017164,0.021359
69,0.009382,0.009577,0.017601,-0.052461,-0.043783,0.006006,0.019608,-0.030245,0.010293,-0.016175,0.006820,0.008835,0.021098,0.004744,0.023226,0.018067,-0.032804,0.023445,0.020099,0.006584,0.008641,-0.036194,0.021595,0.021637,0.005718,0.019986,0.022683,0.020965,-0.019313,0.017537,0.027088,0.021819
70,0.009733,0.004934,0.021594,-0.052461,-0.043783,0.007680,0.019599,-0.030245,0.008020,-0.016175,0.008714,0.008799,0.019929,0.005484,0.019121,0.021983,-0.032804,0.016447,0.016605,0.005835,0.008016,-0.036194,0.017481,0.017557,0.011477,0.015200,0.021999,0.019994,-0.019313,0.019294,0.023841,0.020662
71,0.004712,0.008538,0.017558,-0.052461,-0.043783,0.007361,0.022792,-0.030245,0.013072,-0.016175,0.007147,0.009995,0.019581,0.009245,0.018530,0.019239,-0.032804,0.023636,0.019392,0.012689,0.008791,-0.036194,0.020047,0.019950,0.010927,0.021339,0.019733,0.020714,-0.019313,0.015047,0.019994,0.019630
72,0.005587,0.003551,0.024110,-0.052461,-0.043783,0.006618,0.019749,-0.030245,0.007972,-0.016175,0.008107,0.006101,0.019555,0.010453,0.018737,0.021572,-0.032804,0.019007,0.019106,0.009916,0.004194,-0.036194,0.021819,0.017885,0.007796,0.019767,0.019930,0.018353,-0.019313,0.018422,0.020160,0.019914
